filename,complex_label,distance,Anger_prob,Happy_prob,Panic_prob,Sadness_prob
pure_face_01999.jpg,∫“∏∏,0.3364,0.1761,0.1853,0.2024,0.4363
pure_face_01998.jpg,∞Ê∏Í,0.2655,0.2069,0.2206,0.2345,0.338
pure_face_01997.jpg,ø∞∑¡,0.1984,0.2444,0.2379,0.262,0.2559
pure_face_01996.jpg,ø∞∑¡,0.187,0.2559,0.2407,0.2576,0.2457
pure_face_01995.jpg,ø∞∑¡,0.1787,0.2314,0.25,0.271,0.2477
pure_face_01994.jpg,ø∞∑¡,0.1047,0.1942,0.1969,0.3914,0.2177
pure_face_01993.jpg,ø∞∑¡,0.1903,0.2386,0.2462,0.262,0.2534
pure_face_01992.jpg,»Ô∫–,0.3113,0.1683,0.4524,0.1919,0.1876
pure_face_01991.jpg,ø∞∑¡,0.1945,0.2186,0.2295,0.2886,0.2632
pure_face_01990.jpg,∫“∏∏,0.265,0.1886,0.2007,0.221,0.39
pure_face_01989.jpg,»ƒ»∏,0.2811,0.1565,0.1715,0.184,0.488
pure_face_01988.jpg,ø∞∑¡,0.1961,0.2688,0.2278,0.2585,0.2445
pure_face_01987.jpg,¥Á»≤,0.2232,0.1954,0.3054,0.271,0.2281
pure_face_01986.jpg,ø∞∑¡,0.2016,0.2477,0.2418,0.2544,0.2563
pure_face_01985.jpg,ø∞∑¡,0.1729,0.2238,0.2443,0.2842,0.2478
pure_face_01984.jpg,ø∞∑¡,0.1792,0.2195,0.2477,0.2805,0.2524
pure_face_01983.jpg,ø∞∑¡,0.2108,0.2568,0.2358,0.2505,0.2568
pure_face_01982.jpg,»Ô∫–,0.1787,0.1498,0.499,0.177,0.1742
pure_face_01981.jpg,ø∞∑¡,0.2931,0.179,0.4097,0.2081,0.2032
pure_face_01980.jpg,ø∞∑¡,0.2582,0.1898,0.382,0.2164,0.2119
pure_face_01979.jpg,ø∞∑¡,0.3034,0.1985,0.353,0.2236,0.2249
pure_face_01978.jpg,ø∞∑¡,0.2709,0.1852,0.373,0.2173,0.2245
pure_face_01977.jpg,»Ô∫–,0.1986,0.1521,0.4902,0.1797,0.1781
pure_face_01976.jpg,ø∞∑¡,0.1983,0.2251,0.2455,0.267,0.2627
pure_face_01975.jpg,∫“æ»,0.1889,0.3057,0.2169,0.2438,0.2338
pure_face_01974.jpg,ø∞∑¡,0.2115,0.239,0.2493,0.2477,0.2642
pure_face_01973.jpg,ø∞∑¡,0.1928,0.2323,0.249,0.262,0.2563
pure_face_01972.jpg,∞Ê∏Í,0.2504,0.2131,0.223,0.2399,0.324
pure_face_01971.jpg,¥Á»≤,0.2119,0.2169,0.2815,0.253,0.2485
pure_face_01970.jpg,ø∞∑¡,0.1914,0.2343,0.2477,0.263,0.2554
pure_face_01969.jpg,ø∞∑¡,0.1137,0.1896,0.2069,0.3792,0.2245
pure_face_01968.jpg,ø∞∑¡,0.1735,0.2047,0.2212,0.317,0.2573
pure_face_01967.jpg,ø∞∑¡,0.213,0.2336,0.2378,0.262,0.2668
pure_face_01966.jpg,∞Ê∏Í,0.2445,0.218,0.2269,0.2493,0.306
pure_face_01965.jpg,ø∞∑¡,0.1958,0.2336,0.2468,0.2615,0.258
pure_face_01964.jpg,»Ô∫–,0.1842,0.1509,0.497,0.1779,0.1743
pure_face_01963.jpg,ø∞∑¡,0.166,0.2208,0.2281,0.304,0.2471
pure_face_01962.jpg,¥Á»≤,0.3233,0.2035,0.3394,0.2316,0.2255
pure_face_01961.jpg,ø∞∑¡,0.1934,0.2493,0.2751,0.2393,0.2362
pure_face_01960.jpg,ø∞∑¡,0.1999,0.2405,0.2477,0.2542,0.2578
pure_face_01959.jpg,ø∞∑¡,0.222,0.2244,0.2445,0.2566,0.2744
pure_face_01958.jpg,¥Á»≤,0.3092,0.1969,0.3345,0.2418,0.2269
pure_face_01957.jpg,ø∞∑¡,0.1932,0.2401,0.2494,0.2566,0.2542
pure_face_01956.jpg,∫“æ»,0.2377,0.2134,0.2312,0.2686,0.2866
pure_face_01955.jpg,∞Ê∏Í,0.2242,0.2423,0.2141,0.2407,0.303
pure_face_01954.jpg,ø∞∑¡,0.148,0.2216,0.2198,0.3223,0.2362
pure_face_01953.jpg,∞Ê∏Í,0.2429,0.2032,0.2081,0.2551,0.333
pure_face_01952.jpg,ø∞∑¡,0.3326,0.1708,0.421,0.2032,0.205
pure_face_01951.jpg,ø∞∑¡,0.3168,0.1781,0.4185,0.2021,0.2013
pure_face_01950.jpg,∫“∏∏,0.2678,0.202,0.2145,0.236,0.3474
pure_face_01949.jpg,ø∞∑¡,0.1886,0.2484,0.2432,0.2593,0.2493
pure_face_01948.jpg,»Ô∫–,0.1855,0.1508,0.4963,0.1782,0.1743
pure_face_01947.jpg,ø∞∑¡,0.2591,0.186,0.3872,0.2164,0.2102
pure_face_01946.jpg,¥Á»≤,0.219,0.2091,0.293,0.2477,0.2507
pure_face_01945.jpg,∫“∏∏,0.2573,0.1985,0.2081,0.2277,0.366
pure_face_01944.jpg,ø∞∑¡,0.3518,0.1696,0.4312,0.2019,0.1971
pure_face_01943.jpg,∫“æ»,0.1788,0.329,0.2113,0.2365,0.2231
pure_face_01942.jpg,»ƒ»∏,0.3638,0.1672,0.1761,0.1968,0.46
pure_face_01941.jpg,ø∞∑¡,0.2269,0.2378,0.2345,0.2566,0.271
pure_face_01940.jpg,ø∞∑¡,0.1978,0.2423,0.2305,0.2712,0.2559
pure_face_01939.jpg,»Ô∫–,0.3318,0.1667,0.4453,0.1965,0.1914
pure_face_01938.jpg,ø∞∑¡,0.0454,0.1539,0.1687,0.504,0.1742
pure_face_01937.jpg,∞Ê∏Í,0.2506,0.2141,0.2305,0.252,0.3037
pure_face_01936.jpg,ø∞∑¡,0.1759,0.2372,0.228,0.288,0.2466
pure_face_01935.jpg,ø∞∑¡,0.1604,0.2488,0.2181,0.2996,0.2332
