source_frame,crop_id,bbox,complex_label,distance,Anger_prob,Happy_prob,Panic_prob,Sadness_prob,Neutral_prob
2026-04-20_4.01.10---,crop_000,"[359, 154, 526, 403]",기쁨,0.1506,0.0015,0.966,0.0155,0.0083,0.0088
2026-04-20_4.01.10---,crop_002,"[764, 387, 931, 662]",기쁨,0.1631,0.0004,0.9736,0.0044,0.0105,0.0107
2026-04-20_4.01.10---,crop_003,"[910, 130, 1060, 362]",기쁨,0.1614,0.0001,0.9985,0.001,0.0004,0.0005
2026-04-20_4.01.20---,crop_000,"[533, 480, 702, 724]",기쁨,0.1614,0.0001,0.9966,0.0012,0.001,0.0010004043579101
2026-04-20_4.01.20---,crop_001,"[1193, 340, 1340, 561]",기쁨,0.1621,0.0,1.0,0.0001,0.0,0.0
2026-04-20_4.01.20---,crop_002,"[27, 228, 190, 421]",불만,0.382,0.0194,0.104,0.2152,0.321,0.34033203125
2026-04-20_4.01.20---,crop_004,"[1028, 464, 1231, 718]",슬픔,0.184,0.0011,0.0056,0.0105,0.4907,0.491943359375
2026-04-20_4.01.50---,crop_000,"[456, 260, 637, 480]",슬픔,0.1871,0.0018,0.0061,0.0139,0.488,0.4905
2026-04-20_4.01.50---,crop_001,"[709, 349, 847, 544]",불만,0.3636,0.0868,0.102,0.1593,0.2822,0.3696
2026-04-20_4.02.00---,crop_000,"[546, 354, 664, 532]",기쁨,0.1265,0.0089,0.857,0.0561,0.0346,0.0434
2026-04-20_4.02.00---,crop_001,"[1053, 388, 1173, 574]",공포,0.0109,0.0024,0.0098,0.9697,0.0082,0.0103
2026-04-20_4.03.43---,crop_000,"[916, 156, 1125, 432]",기쁨,0.1619,0.0,0.999,0.0003,0.0001,0.0
2026-04-20_4.03.43---,crop_001,"[338, 314, 518, 506]",슬픔,0.2226,0.0038,0.0308,0.0411,0.4604,0.464111328125
2026-04-20_4.03.43---,crop_002,"[177, 89, 425, 281]",염려,0.2751,0.1284,0.3452,0.2114,0.0932,0.2215576171875
2026-04-20_4.03.51---,crop_000,"[1505, 153, 1583, 272]",염려,0.3645,0.0467,0.2206,0.372,0.1567,0.20361328125
2026-04-20_4.03.51---,crop_001,"[769, 191, 877, 318]",경외,0.1597,0.0608,0.4172,0.2532,0.1041,0.1650390625
2026-04-20_4.03.51---,crop_002,"[548, 361, 666, 498]",기쁨,0.1622,0.0,1.0,0.0,0.0,0.0
2026-04-20_4.03.51---,crop_003,"[1025, 373, 1133, 528]",편안,0.2234,0.003,0.697,0.0335,0.1317,0.134765625
2026-04-20_4.03.51---,crop_004,"[1337, 109, 1409, 200]",혼란,0.2183,0.1868,0.1184,0.2374,0.1355,0.322265625
2026-04-20_4.03.51---,crop_005,"[1398, 445, 1463, 561]",경멸,0.1649,0.44,0.012,0.0332,0.0374,0.477294921875
audience_reaction_ci_Qyc4U1bY-RE_jpg.rf.9c8f44d7e871017133f09dbfcfab50f4,No_Face,None,None,None,None,None,None,None,None
audience_reaction_ci_V8TSnZKyaiw_jpg.rf.768969bd5c72acb831563cf1a3aefbf3,No_Face,None,None,None,None,None,None,None,None
audience_reaction_ci_ds3IuSX0Fys_jpg.rf.057417a124ff91757f5bd8fdf1628879,No_Face,None,None,None,None,None,None,None,None
audience_reaction_ci_qoFzL-vEM_U_jpg.rf.8a9fec43b04f5360ab721b82fca04225,No_Face,None,None,None,None,None,None,None,None
audience_reaction_ci_qx6QtPOhO9I_jpg.rf.72c180d4777f5e2b646ddac3aaa67c85,No_Face,None,None,None,None,None,None,None,None
audience_reaction_ci_ulgzDQZQjV0_jpg.rf.7f9da872edde2d63b31dac788f0c3123,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_0GtJjkBcz_E_jpg.rf.880ee3fcbb6024b19786fe950915d085,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_D89TQvNQD6g_jpg.rf.6d43b07185fdcb72219e1975e2140f6b,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_LvFR0dckozo_jpg.rf.2cdde286853813d2adc0035341ada697,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_MYzNFM87zFI_jpg.rf.e38ed6ad05e2174e6dbea3f7ca1c02b7,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_blgOFmPIlr0_jpg.rf.813d23591c8559f33f163f1abdae80a7,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_bzdhc5b3Bxs_jpg.rf.68bea2d8360c660aaf454b044e7b90d7,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_f-QZTRw_zw0_jpg.rf.be4fbf32b1e56727f444a36a86e548f9,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_p7iRo2YHELA_jpg.rf.6d359e344d0694616753bd8177415987,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_tFBOfZQaXIk_jpg.rf.2f2e965918acad9c4a7380df5cf43f17,crop_000,"[436, 453, 483, 512]",불만,0.3618,0.0321,0.0912,0.212,0.3164,0.3481
audience_watching_sc_vsqo_YtW0zo_jpg.rf.68c1cbefce0f4c8dea459674599342a5,No_Face,None,None,None,None,None,None,None,None
audience_watching_sc_xEbDAGCQlOk_jpg.rf.ba05a9535ea0b7cbea1a1898fb22b000,No_Face,None,None,None,None,None,None,None,None
bn-D2bCvpik_jpg.rf.466b6466010da3b56465046aef7ecacb,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_1r61ot8P9Q8_jpg.rf.57d0e5026ea84a7c0ad7e6f36b4495c7,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_2s3ILi-zP-o_jpg.rf.80e95cfc93298d24c4a42e4a1cf14d59,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_57MukhUCxsg_jpg.rf.71487cbcdd2d298eff652ca9b762bdd9,No_Face,None,None,None,None,None,None,None,None
cinema_audience_watc_65T79q3DL1E_jpg.rf.421d93f3e74dcad21fe9917834a20244,No_Face,None,None,None,None,None,None,None,None
